,CPI_Value,Month_years
0,21.48,1947-01
1,21.62,1947-02
2,22.0,1947-03
3,22.0,1947-04
4,21.95,1947-05
5,22.08,1947-06
6,22.23,1947-07
7,22.4,1947-08
8,22.84,1947-09
9,22.91,1947-10
10,23.06,1947-11
11,23.41,1947-12
12,23.68,1948-01
13,23.67,1948-02
14,23.5,1948-03
15,23.82,1948-04
16,24.01,1948-05
17,24.15,1948-06
18,24.4,1948-07
19,24.43,1948-08
20,24.36,1948-09
21,24.31,1948-10
22,24.16,1948-11
23,24.05,1948-12
24,24.01,1949-01
25,23.91,1949-02
26,23.91,1949-03
27,23.92,1949-04
28,23.91,1949-05
29,23.92,1949-06
30,23.7,1949-07
31,23.7,1949-08
32,23.75,1949-09
33,23.67,1949-10
34,23.7,1949-11
35,23.61,1949-12
36,23.51,1950-01
37,23.61,1950-02
38,23.64,1950-03
39,23.65,1950-04
40,23.77,1950-05
41,23.88,1950-06
42,24.07,1950-07
43,24.2,1950-08
44,24.34,1950-09
45,24.5,1950-10
46,24.6,1950-11
47,24.98,1950-12
48,25.38,1951-01
49,25.83,1951-02
50,25.88,1951-03
51,25.92,1951-04
52,25.99,1951-05
53,25.93,1951-06
54,25.91,1951-07
55,25.86,1951-08
56,26.03,1951-09
57,26.16,1951-10
58,26.32,1951-11
59,26.47,1951-12
60,26.45,1952-01
61,26.41,1952-02
62,26.39,1952-03
63,26.46,1952-04
64,26.47,1952-05
65,26.53,1952-06
66,26.68,1952-07
67,26.69,1952-08
68,26.63,1952-09
69,26.69,1952-10
70,26.69,1952-11
71,26.71,1952-12
72,26.64,1953-01
73,26.59,1953-02
74,26.63,1953-03
75,26.69,1953-04
76,26.7,1953-05
77,26.77,1953-06
78,26.79,1953-07
79,26.85,1953-08
80,26.89,1953-09
81,26.95,1953-10
82,26.85,1953-11
83,26.87,1953-12
84,26.94,1954-01
85,26.99,1954-02
86,26.93,1954-03
87,26.86,1954-04
88,26.93,1954-05
89,26.94,1954-06
90,26.86,1954-07
91,26.85,1954-08
92,26.81,1954-09
93,26.72,1954-10
94,26.78,1954-11
95,26.77,1954-12
96,26.77,1955-01
97,26.82,1955-02
98,26.79,1955-03
99,26.79,1955-04
100,26.77,1955-05
101,26.71,1955-06
102,26.76,1955-07
103,26.72,1955-08
104,26.85,1955-09
105,26.82,1955-10
106,26.88,1955-11
107,26.87,1955-12
108,26.83,1956-01
109,26.86,1956-02
110,26.89,1956-03
111,26.93,1956-04
112,27.03,1956-05
113,27.15,1956-06
114,27.29,1956-07
115,27.31,1956-08
116,27.35,1956-09
117,27.51,1956-10
118,27.51,1956-11
119,27.63,1956-12
120,27.67,1957-01
121,27.8,1957-02
122,27.86,1957-03
123,27.93,1957-04
124,28.0,1957-05
125,28.11,1957-06
126,28.19,1957-07
127,28.28,1957-08
128,28.32,1957-09
129,28.32,1957-10
130,28.41,1957-11
131,28.47,1957-12
132,28.64,1958-01
133,28.7,1958-02
134,28.87,1958-03
135,28.94,1958-04
136,28.94,1958-05
137,28.91,1958-06
138,28.89,1958-07
139,28.94,1958-08
140,28.91,1958-09
141,28.91,1958-10
142,28.95,1958-11
143,28.97,1958-12
144,29.01,1959-01
145,29.0,1959-02
146,28.97,1959-03
147,28.98,1959-04
148,29.04,1959-05
149,29.11,1959-06
150,29.15,1959-07
151,29.18,1959-08
152,29.25,1959-09
153,29.35,1959-10
154,29.35,1959-11
155,29.41,1959-12
156,29.37,1960-01
157,29.41,1960-02
158,29.41,1960-03
159,29.54,1960-04
160,29.57,1960-05
161,29.61,1960-06
162,29.55,1960-07
163,29.61,1960-08
164,29.61,1960-09
165,29.75,1960-10
166,29.78,1960-11
167,29.81,1960-12
168,29.84,1961-01
169,29.84,1961-02
170,29.84,1961-03
171,29.81,1961-04
172,29.84,1961-05
173,29.84,1961-06
174,29.92,1961-07
175,29.94,1961-08
176,29.98,1961-09
177,29.98,1961-10
178,29.98,1961-11
179,30.01,1961-12
180,30.04,1962-01
181,30.11,1962-02
182,30.17,1962-03
183,30.21,1962-04
184,30.24,1962-05
185,30.21,1962-06
186,30.22,1962-07
187,30.28,1962-08
188,30.42,1962-09
189,30.38,1962-10
190,30.38,1962-11
191,30.38,1962-12
192,30.44,1963-01
193,30.48,1963-02
194,30.51,1963-03
195,30.48,1963-04
196,30.51,1963-05
197,30.61,1963-06
198,30.69,1963-07
199,30.75,1963-08
200,30.72,1963-09
201,30.75,1963-10
