Time,Labour_values
2003-01,34
2003-02,28
2003-03,27
2003-04,16
2003-05,12
2003-06,23
2003-07,20
2003-08,18
2003-09,17
2003-10,35
2003-11,16
2003-12,26
2004-01,18
2004-02,30
2004-03,29
2004-04,12
2004-05,24
2004-06,24
2004-07,35
2004-08,38
2004-09,36
2004-10,38
2004-11,21
2004-12,13
2005-01,30
2005-02,29
2005-03,18
2005-04,39
2005-05,24
2005-06,52
2005-07,18
2005-08,27
2005-09,22
2005-10,30
2005-11,13
2005-12,24
2006-01,30
2006-02,35
2006-03,35
2006-04,15
2006-05,22
2006-06,20
2006-07,38
2006-08,36
2006-09,32
2006-10,32
2006-11,18
2006-12,15
2007-01,34
2007-02,36
2007-03,25
2007-04,25
2007-05,25
2007-06,19
2007-07,25
2007-08,23
2007-09,11
2007-10,17
2007-11,23
2007-12,28
2008-01,23
2008-02,31
2008-03,19
2008-04,29
2008-05,27
2008-06,18
2008-07,32
2008-08,27
2008-09,13
2008-10,13
2008-11,13
2008-12,5
2009-01,21
2009-02,15
2009-03,21
2009-04,21
2009-05,18
2009-06,17
2009-07,34
2009-08,12
2009-09,26
2009-10,14
2009-11,20
2009-12,13
2010-01,26
2010-02,28
2010-03,41
2010-04,23
2010-05,26
2010-06,25
2010-07,15
2010-08,6
2010-09,43
2010-10,27
2010-11,4
2010-12,21
2011-01,25
2011-02,42
2011-03,13
2011-04,15
2011-05,27
2011-06,29
2011-07,12
2011-08,20
2011-09,24
2011-10,18
2011-11,24
2011-12,24
2012-01,22
2012-02,14
2012-03,26
2012-04,11
2012-05,16
2012-06,23
2012-07,24
2012-08,26
2012-09,12
2012-10,18
2012-11,35
2012-12,13
2013-01,14
2013-02,27
2013-03,23
2013-04,30
2013-05,12
2013-06,24
2013-07,15
2013-08,16
2013-09,37
2013-10,22
2013-11,13
2013-12,33
2014-01,22
2014-02,31
2014-03,26
2014-04,14
2014-05,25
2014-06,40
2014-07,36
2014-08,46
2014-09,27
2014-10,22
2014-11,28
2014-12,24
2015-01,12
2015-02,33
2015-03,25
2015-04,26
2015-05,20
2015-06,37
2015-07,40
2015-08,29
2015-09,32
2015-10,42
2015-11,42
2015-12,51
2016-01,30
2016-02,25
2016-03,27
2016-04,16
2016-05,31
2016-06,36
2016-07,32
2016-08,33
2016-09,58
2016-10,24
2016-11,27
2016-12,14
2017-01,29
2017-02,33
2017-03,41
2017-04,28
2017-05,30
2017-06,33
2017-07,26
2017-08,33
2017-09,18
2017-10,30
2017-11,34
2017-12,25
2018-01,41
2018-02,31
2018-03,47
2018-04,22
2018-05,10
2018-06,34
2018-07,31
2018-08,28
2018-09,53
2018-10,32
2018-11,45
2018-12,22
2019-01,37
2019-02,25
2019-03,32
2019-04,24
2019-05,53
2019-06,38
2019-07,24
2019-08,57
2019-09,29
2019-10,25
2019-11,36
2019-12,12
2020-01,30
2020-02,24
2020-03,48
2020-04,81
2020-05,82
2020-06,83
2020-07,74
2020-08,69
2020-09,62
2020-10,93
2020-11,63
2020-12,86
2021-01,59
2021-02,52
2021-03,42
2021-04,88
2021-05,67
2021-06,44
2021-07,60
2021-08,49
2021-09,64
2021-10,46
2021-11,56
2021-12,50
2022-01,72
2022-02,44
2022-03,58
2022-04,27
2022-05,64
2022-06,44
2022-07,56
2022-08,56
2022-09,79
2022-10,104
2022-11,59
2022-12,51
2023-01,42
