,Manufacturing_Value,Month_year
0,12.1,01-1913
1,12.0,02-1913
2,12.0,03-1913
3,12.0,04-1913
4,11.9,05-1913
5,11.9,06-1913
6,12.0,07-1913
7,12.0,08-1913
8,12.2,09-1913
9,12.2,10-1913
10,12.1,11-1913
11,11.9,12-1913
12,11.8,01-1914
13,11.8,02-1914
14,11.7,03-1914
15,11.7,04-1914
16,11.6,05-1914
17,11.6,06-1914
18,11.6,07-1914
19,12.0,08-1914
20,12.1,09-1914
21,11.7,10-1914
22,11.7,11-1914
23,11.6,12-1914
24,11.8,01-1915
25,11.8,02-1915
26,11.8,03-1915
27,11.8,04-1915
28,11.9,05-1915
29,11.8,06-1915
30,11.9,07-1915
31,11.8,08-1915
32,11.8,09-1915
33,12.1,10-1915
34,12.3,11-1915
35,12.8,12-1915
36,13.3,01-1916
37,13.5,02-1916
38,13.9,03-1916
39,14.1,04-1916
40,14.2,05-1916
41,14.3,06-1916
42,14.4,07-1916
43,14.7,08-1916
44,15.0,09-1916
45,15.7,10-1916
46,16.8,11-1916
47,17.1,12-1916
48,17.6,01-1917
49,18.0,02-1917
50,18.5,03-1917
51,19.7,04-1917
52,20.8,05-1917
53,21.0,06-1917
54,21.2,07-1917
55,21.5,08-1917
56,21.3,09-1917
57,21.1,10-1917
58,21.2,11-1917
59,21.2,12-1917
60,21.6,01-1918
61,21.1,02-1918
62,21.8,03-1918
63,22.1,04-1918
64,22.1,05-1918
65,22.2,06-1918
66,22.7,07-1918
67,23.2,08-1918
68,23.7,09-1918
69,23.5,10-1918
70,23.5,11-1918
71,23.5,12-1918
72,23.2,01-1919
73,22.4,02-1919
74,22.6,03-1919
75,22.9,04-1919
76,23.3,05-1919
77,23.4,06-1919
78,24.3,07-1919
79,24.9,08-1919
80,24.3,09-1919
81,24.4,10-1919
82,24.9,11-1919
83,26.0,12-1919
84,27.2,01-1920
85,27.1,02-1920
86,27.3,03-1920
87,28.5,04-1920
88,28.8,05-1920
89,28.7,06-1920
90,28.6,07-1920
91,27.8,08-1920
92,26.8,09-1920
93,24.9,10-1920
94,23.0,11-1920
95,20.8,12-1920
96,19.6,01-1921
97,18.1,02-1921
98,17.7,03-1921
99,17.0,04-1921
100,16.6,05-1921
101,16.1,06-1921
102,16.1,07-1921
103,16.1,08-1921
104,16.1,09-1921
105,16.2,10-1921
