inflation_Value,Year-Month
6.41,2023-01
7.48,2022-01
1.4,2021-01
2.49,2020-01
1.55,2019-01
2.07,2018-01
2.5,2017-01
1.37,2016-01
-0.09,2015-01
1.58,2014-01
1.59,2013-01
2.93,2012-01
1.63,2011-01
2.63,2010-01
0.03,2009-01
4.28,2008-01
2.08,2007-01
3.99,2006-01
2.97,2005-01
1.93,2004-01
2.6,2003-01
1.14,2002-01
3.73,2001-01
2.74,2000-01
1.67,1999-01
1.57,1998-01
3.04,1997-01
2.73,1996-01
2.8,1995-01
2.52,1994-01
3.26,1993-01
2.6,1992-01
5.65,1991-01
5.2,1990-01
4.67,1989-01
4.05,1988-01
1.46,1987-01
3.89,1986-01
3.53,1985-01
4.19,1984-01
3.71,1983-01
8.39,1982-01
11.83,1981-01
13.91,1980-01
9.28,1979-01
6.84,1978-01
5.22,1977-01
6.72,1976-01
11.8,1975-01
9.39,1974-01
3.65,1973-01
3.27,1972-01
5.29,1971-01
6.18,1970-01
4.4,1969-01
3.65,1968-01
3.46,1967-01
1.92,1966-01
0.97,1965-01
1.64,1964-01
1.33,1963-01
0.67,1962-01
1.71,1961-01
1.03,1960-01
1.4,1959-01
3.62,1958-01
2.99,1957-01
0.37,1956-01
-0.74,1955-01
1.13,1954-01
0.38,1953-01
4.33,1952-01
8.09,1951-01
-2.08,1950-01
1.27,1949-01
10.23,1948-01
18.13,1947-01
2.25,1946-01
2.3,1945-01
2.96,1944-01
7.64,1943-01
11.35,1942-01
1.44,1941-01
-0.71,1940-01
-1.41,1939-01
0.71,1938-01
2.17,1937-01
1.47,1936-01
3.03,1935-01
2.33,1934-01
-9.79,1933-01
-10.06,1932-01
-7.02,1931-01
0,1930-01
-1.16,1929-01
-1.14,1928-01
-2.23,1927-01
3.47,1926-01
0,1925-01
2.98,1924-01
-0.59,1923-01
-11.05,1922-01
-1.55,1921-01
16.97,1920-01
17.86,1919-01
19.66,1918-01
12.5,1917-01
2.97,1916-01
1,1915-01
2.04,1914-01
6.41,2023-02
7.87,2022-02
1.68,2021-02
2.33,2020-02
1.52,2019-02
2.21,2018-02
2.74,2017-02
1.02,2016-02
-0.03,2015-02
1.13,2014-02
1.98,2013-02
2.87,2012-02
2.11,2011-02
2.14,2010-02
0.24,2009-02
4.03,2008-02
2.42,2007-02
3.6,2006-02
3.01,2005-02
1.69,2004-02
2.98,2003-02
1.14,2002-02
3.53,2001-02
3.22,2000-02
1.61,1999-02
1.44,1998-02
3.03,1997-02
2.65,1996-02
2.86,1995-02
2.52,1994-02
3.25,1993-02
2.82,1992-02
5.31,1991-02
5.26,1990-02
4.83,1989-02
3.94,1988-02
2.1,1987-02
3.11,1986-02
3.52,1985-02
4.6,1984-02
3.49,1983-02
7.62,1982-02
11.41,1981-02
14.18,1980-02
9.86,1979-02
6.43,1978-02
5.91,1977-02
6.29,1976-02
11.23,1975-02
10.02,1974-02
3.87,1973-02
3.51,1972-02
5,1971-02
6.15,1970-02
4.68,1969-02
3.95,1968-02
2.81,1967-02
2.56,1966-02
0.97,1965-02
1.64,1964-02
1,1963-02
1.01,1962-02
1.36,1961-02
1.73,1960-02
1.05,1959-02
3.25,1958-02
3.36,1957-02
0.37,1956-02
-0.74,1955-02
1.51,1954-02
0.76,1953-02
2.33,1952-02
9.36,1951-02
-1.26,1950-02
1.28,1949-02
9.3,1948-02
18.78,1947-02
1.69,1946-02
2.3,1945-02
2.96,1944-02
6.96,1943-02
12.06,1942-02
0.71,1941-02
0.72,1940-02
-1.42,1939-02
0,1938-02
2.17,1937-02
0.73,1936-02
3.01,1935-02
4.72,1934-02
-9.93,1933-02
-10.19,1932-02
-7.65,1931-02
-0.58,1930-02
0,1929-02
-1.72,1928-02
-2.79,1927-02
4.07,1926-02
0,1925-02
2.38,1924-02
-0.59,1923-02
-8.15,1922-02
-5.64,1921-02
20.37,1920-02
14.89,1919-02
17.5,1918-02
15.38,1917-02
4,1916-02
1.01,1915-02
1.02,1914-02
6.41,2023-03
8.54,2022-03
2.62,2021-03
1.54,2020-03
1.86,2019-03
2.36,2018-03
2.38,2017-03
0.85,2016-03
-0.07,2015-03
1.51,2014-03
1.47,2013-03
2.65,2012-03
2.68,2011-03
2.31,2010-03
-0.38,2009-03
3.98,2008-03
2.78,2007-03
3.36,2006-03
3.15,2005-03
1.74,2004-03
3.02,2003-03
1.48,2002-03
2.92,2001-03
3.76,2000-03
1.73,1999-03
1.37,1998-03
2.76,1997-03
2.84,1996-03
2.85,1995-03
2.51,1994-03
3.09,1993-03
3.19,1992-03
4.9,1991-03
5.23,1990-03
4.98,1989-03
3.93,1988-03
3.03,1987-03
2.26,1986-03
3.7,1985-03
4.8,1984-03
3.6,1983-03
6.78,1982-03
10.49,1981-03
14.76,1980-03
10.09,1979-03
6.55,1978-03
6.44,1977-03
6.07,1976-03
10.25,1975-03
10.39,1974-03
4.59,1973-03
3.5,1972-03
4.71,1971-03
5.82,1970-03
5.25,1969-03
3.94,1968-03
2.8,1967-03
2.56,1966-03
1.29,1965-03
1.31,1964-03
1.33,1963-03
1.01,1962-03
1.36,1961-03
1.73,1960-03
0.35,1959-03
3.6,1958-03
3.73,1957-03
0.37,1956-03
-0.74,1955-03
1.13,1954-03
1.14,1953-03
1.94,1952-03
9.32,1951-03
-0.84,1950-03
1.71,1949-03
6.85,1948-03
19.67,1947-03
2.81,1946-03
2.3,1945-03
1.16,1944-03
7.5,1943-03
12.68,1942-03
1.43,1941-03
0.72,1940-03
-1.42,1939-03
-0.7,1938-03
3.65,1937-03
0,1936-03
3.01,1935-03
5.56,1934-03
-10,1933-03
-10.26,1932-03
-7.69,1931-03
-0.59,1930-03
-0.58,1929-03
-1.16,1928-03
-2.81,1927-03
2.89,1926-03
1.17,1925-03
1.79,1924-03
0.6,1923-03
-8.74,1922-03
-7.11,1921-03
20.12,1920-03
17.14,1919-03
16.67,1918-03
14.29,1917-03
6.06,1916-03
0,1915-03
1.02,1914-03
6.41,2023-04
8.26,2022-04
4.16,2021-04
0.33,2020-04
2,2019-04
2.46,2018-04
2.2,2017-04
1.13,2016-04
-0.2,2015-04
1.95,2014-04
1.06,2013-04
2.3,2012-04
3.16,2011-04
2.24,2010-04
-0.74,2009-04
3.94,2008-04
2.57,2007-04
3.55,2006-04
3.51,2005-04
2.29,2004-04
2.22,2003-04
